IDGEO,ID_ENT,ID_MUN,ID_LOC,ID_AGEB,Entity,Municipality,Type,Long,Lat,Pob_MUN
0900300010249,09,003,0001,0249,Ciudad de México,Coyoacán,Urbana,-99.17928782922972,19.34456078659053,614 447
0900300010268,09,003,0001,0268,Ciudad de México,Coyoacán,Urbana,-99.17165720708071,19.34454600090585,614 447
0900300010380,09,003,0001,0380,Ciudad de México,Coyoacán,Urbana,-99.18381824727552,19.339748282378533,614 447
0900300010395,09,003,0001,0395,Ciudad de México,Coyoacán,Urbana,-99.18080916866636,19.34086833396412,614 447
0900300010408,09,003,0001,0408,Ciudad de México,Coyoacán,Urbana,-99.18117998184798,19.33758057211224,614 447
0900300010535,09,003,0001,0535,Ciudad de México,Coyoacán,Urbana,-99.12018216696846,19.33522854258414,614 447
0900300010821,09,003,0001,0821,Ciudad de México,Coyoacán,Urbana,-99.15697353122104,19.317674815618,614 447
0900300010836,09,003,0001,0836,Ciudad de México,Coyoacán,Urbana,-99.15169563049014,19.317946870687827,614 447
0900300010840,09,003,0001,0840,Ciudad de México,Coyoacán,Urbana,-99.14795412055216,19.3175961053135,614 447
0900300010855,09,003,0001,0855,Ciudad de México,Coyoacán,Urbana,-99.14364344885868,19.31780756752386,614 447
0900300010889,09,003,0001,0889,Ciudad de México,Coyoacán,Urbana,-99.12882002877002,19.317843708629585,614 447
0900300010893,09,003,0001,0893,Ciudad de México,Coyoacán,Urbana,-99.12671776627874,19.31396777190681,614 447
090030001093A,09,003,0001,093A,Ciudad de México,Coyoacán,Urbana,-99.1131606698046,19.313728604720765,614 447
0900300011020,09,003,0001,1020,Ciudad de México,Coyoacán,Urbana,-99.14188754255692,19.31338907237283,614 447
090030001129A,09,003,0001,129A,Ciudad de México,Coyoacán,Urbana,-99.1177696432326,19.3217736287574,614 447
090030001136A,09,003,0001,136A,Ciudad de México,Coyoacán,Urbana,-99.11670523227706,19.315170458836644,614 447
0900300011374,09,003,0001,1374,Ciudad de México,Coyoacán,Urbana,-99.117662162436,19.31313160735843,614 447
0900300011389,09,003,0001,1389,Ciudad de México,Coyoacán,Urbana,-99.1099491372504,19.31992422083695,614 447
0900300011393,09,003,0001,1393,Ciudad de México,Coyoacán,Urbana,-99.11135052177038,19.318775025569703,614 447
0900300011406,09,003,0001,1406,Ciudad de México,Coyoacán,Urbana,-99.10942435786085,19.31644027462505,614 447
090030001143A,09,003,0001,143A,Ciudad de México,Coyoacán,Urbana,-99.1193828774247,19.309296158782825,614 447
090030001150A,09,003,0001,150A,Ciudad de México,Coyoacán,Urbana,-99.10633175658542,19.30912563291348,614 447
0900300011514,09,003,0001,1514,Ciudad de México,Coyoacán,Urbana,-99.1027114107288,19.31017732292497,614 447
0900300011533,09,003,0001,1533,Ciudad de México,Coyoacán,Urbana,-99.17800558304612,19.30761420579634,614 447
0900300011567,09,003,0001,1567,Ciudad de México,Coyoacán,Urbana,-99.17074360736586,19.31079717737949,614 447
0900300011590,09,003,0001,1590,Ciudad de México,Coyoacán,Urbana,-99.17140749011064,19.30823238476131,614 447
0900300011482,09,003,0001,1482,Ciudad de México,Coyoacán,Urbana,-99.10218702725028,19.3171887228532,614 447
0900300010516,09,003,0001,0516,Ciudad de México,Coyoacán,Urbana,-99.12552776624128,19.33675705415653,614 447
0900300010145,09,003,0001,0145,Ciudad de México,Coyoacán,Urbana,-99.16014758074049,19.347656887624176,614 447
0900300010287,09,003,0001,0287,Ciudad de México,Coyoacán,Urbana,-99.1617727951156,19.34167278337637,614 447
0900300010291,09,003,0001,0291,Ciudad de México,Coyoacán,Urbana,-99.15066230896308,19.340256741939957,614 447
